company,salary,overtime,salary_25_29,salary_30_34,salary_35_39,salary_40_44,salary_45_49,salary_50_54,salary_55_59,salary_60_up
株式会社クラレ,599,23,486.0,579.0,726.0,,,,,
コナミグループ株式会社,542,30,486.0,430.0,,,,,,
東京電力ホールディングス株式会社,685,30,485.0,621.0,706.0,727.0,1027.0,707.0,1010.0,920.0
大日本印刷株式会社,598,36,483.0,543.0,655.0,610.0,649.0,805.0,,825.0
ヤマハ発動機株式会社,582,27,483.0,546.0,612.0,815.0,,,,
川崎重工業株式会社,601,31,482.0,601.0,746.0,755.0,,,,
京セラ株式会社,592,33,481.0,591.0,610.0,699.0,867.0,,,
関西電力株式会社,675,29,480.0,599.0,953.0,661.0,,833.0,,960.0
日本精工株式会社,644,21,475.0,601.0,727.0,763.0,883.0,834.0,,
東急株式会社,625,30,475.0,662.0,638.0,,,,,
日本電信電話株式会社,620,23,475.0,610.0,670.0,691.0,798.0,788.0,917.0,
株式会社千葉銀行,519,26,475.0,586.0,715.0,,,,,
日本電気硝子株式会社,630,33,473.0,,,,,,,
京王電鉄株式会社,506,35,473.0,498.0,686.0,,,,,
コニカミノルタ株式会社,703,33,472.0,611.0,648.0,743.0,797.0,791.0,910.0,959.0
日産化学株式会社,648,25,472.0,600.0,789.0,,,,,
デンカ株式会社,541,23,471.0,597.0,,720.0,,,,
株式会社安川電機,596,30,470.0,587.0,716.0,,,,,
キッコーマン株式会社,661,22,467.0,,661.0,870.0,872.0,,,
スズキ株式会社,528,32,461.0,531.0,801.0,700.0,,,,
小田急電鉄株式会社,531,28,459.0,521.0,673.0,,,,,
株式会社ニコン,697,23,458.0,630.0,743.0,765.0,859.0,,783.0,
マツダ株式会社,588,24,457.0,530.0,537.0,668.0,726.0,792.0,,
東日本旅客鉄道株式会社,551,21,457.0,571.0,639.0,744.0,,,,
三菱自動車工業株式会社,623,30,453.0,553.0,649.0,696.0,736.0,801.0,1173.0,
日野自動車株式会社,526,27,452.0,526.0,603.0,704.0,,769.0,,
日本碍子株式会社,609,31,451.0,607.0,620.0,726.0,800.0,,,
住友不動産株式会社,583,46,449.0,661.0,586.0,617.0,621.0,638.0,,
ヤマハ株式会社,701,26,448.0,579.0,729.0,,,1004.0,1085.0,850.0
株式会社ジェイテクト,557,26,447.0,555.0,659.0,703.0,,,,
オークマ株式会社,514,37,446.0,490.0,545.0,,,,,
日立造船株式会社,526,26,442.0,541.0,555.0,,,677.0,,
太平洋セメント株式会社,567,24,441.0,504.0,,,,,,
ミネベアミツミ株式会社,538,25,441.0,557.0,665.0,620.0,699.0,,,
株式会社オリエンタルランド,534,21,440.0,448.0,601.0,628.0,,,,850.0
横浜ゴム株式会社,544,26,439.0,500.0,638.0,,,,,
アルプスアルパイン株式会社,511,24,438.0,505.0,595.0,606.0,614.0,,,
京成電鉄株式会社,518,45,437.0,507.0,,680.0,,,,
株式会社りそなホールディングス,451,27,436.0,,,,,,,
シチズン時計株式会社,515,21,432.0,517.0,555.0,,,,,
東武鉄道株式会社,531,31,431.0,420.0,630.0,,525.0,,,
住友大阪セメント株式会社,512,26,425.0,433.0,,,,,,
シャープ株式会社,594,27,422.0,469.0,623.0,674.0,653.0,735.0,859.0,913.0
日本製紙株式会社,516,23,422.0,506.0,556.0,700.0,,,,
株式会社トクヤマ,607,20,417.0,567.0,672.0,,,,,
株式会社丸井グループ,458,14,417.0,447.0,423.0,443.0,,488.0,,
株式会社クレディセゾン,467,18,411.0,449.0,468.0,615.0,615.0,,,
株式会社アマダ,547,31,408.0,535.0,533.0,,,644.0,,
セコム株式会社,460,42,406.0,468.0,503.0,516.0,627.0,574.0,,
日本航空株式会社,499,19,397.0,490.0,601.0,659.0,,650.0,,
日本郵政株式会社,456,20,396.0,456.0,416.0,478.0,545.0,850.0,,
株式会社ニチレイ,502,27,394.0,477.0,544.0,,,,,
日産自動車株式会社,417,39,391.0,430.0,447.0,,,,,
西日本旅客鉄道株式会社,446,20,384.0,491.0,586.0,633.0,,,,
三菱地所株式会社,967,30,,900.0,,,,,,
カシオ計算機株式会社,765,27,,603.0,719.0,,,869.0,967.0,905.0
東宝株式会社,752,39,,,,,,,,
株式会社大和証券グループ本社,653,32,,,,,,,,
ヤマトホールディングス株式会社,531,39,,,,,,,,
株式会社三越伊勢丹ホールディングス,487,20,,,,591.0,,,,
株式会社高島屋,474,16,,,,,,,,
太陽誘電株式会社,470,33,,,507.0,,,,,
第一生命ホールディングス株式会社,447,28,,,,,,,,
株式会社デンソー,345,24,,,,,,,,
大塚ホールディングス株式会社,---,--,,,,,,,,
ニデック株式会社,---,--,,,,,,,,
レーザーテック株式会社,---,--,,,,,,,,
株式会社三井住友フィナンシャルグループ,---,--,,,,,,,,
三井住友トラスト・ホールディングス株式会社,---,--,,,,,,,,
株式会社ふくおかフィナンシャルグループ,---,--,,,,,,,,
株式会社日本取引所グループ,---,--,,,,,,,,
野村ホールディングス株式会社,---,--,,,,,,,,
ＳＯＭＰＯホールディングス株式会社,---,--,,,,,,,,
東京海上ホールディングス株式会社,---,--,,,,,,,,
株式会社ニッスイ,---,--,,,,,,,,
明治ホールディングス株式会社,---,--,,,,,,,,
サッポロホールディングス株式会社,---,--,,,,,,,,
アサヒグループホールディングス株式会社,---,--,,,,,,,,
宝ホールディングス株式会社,---,--,,,,,,,,
富士フイルムホールディングス株式会社,---,--,,,,,,,,
株式会社バンダイナムコホールディングス,---,--,,,,,,,,
東急不動産ホールディングス株式会社,---,--,,,,,,,,
