,company_name,average_salary,average_age,salary/age,銘柄名,市場・商品区分,33業種区分,17業種区分,かふか5分類,かふか4分類
5959,岡部,630.0,40.5,9800.0,岡部,プライム（内国株式）,金属製品,建設・資材,産業＆建設,製造
3101,東洋紡,633.0,40.9,9796.797066014671,東洋紡,プライム（内国株式）,繊維製品,素材・化学,産業＆建設,製造
8144,デンキョーグループ,680.0,47.2,9796.610169491525,デンキョーグループホールディングス,スタンダード（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
1768,ソネック,636.0,41.3,9794.092009685231,ソネック,スタンダード（内国株式）,建設業,建設・資材,産業＆建設,サービス
8022,美津濃,645.0,42.5,9788.823529411764,美津濃,プライム（内国株式）,その他製品,情報通信・サービスその他,テクノロジー＆サービス,製造
6995,東海理化電機製作所,644.0,42.4,9781.509433962265,東海理化電機製作所,プライム（内国株式）,輸送用機器,自動車・輸送機,テクノロジー＆サービス,製造
7456,松田産業,616.0,38.8,9779.793814432991,松田産業,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
9010,富士急行,616.0,38.8,9779.793814432991,富士急行,プライム（内国株式）,陸運業,運輸・物流,産業＆建設,サービス
2436,共同ピーアール,630.0,40.6,9775.862068965516,共同ピーアール,スタンダード（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6804,ホシデン,685.0,48.0,9775.520833333334,ホシデン,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
5410,合同製鐵,619.0,39.2,9774.515306122448,合同製鐵,プライム（内国株式）,鉄鋼,鉄鋼・非鉄,産業＆建設,製造
3878,巴川コーポレーション,660.0,44.6,9766.816143497757,巴川コーポレーション,スタンダード（内国株式）,化学,素材・化学,産業＆建設,製造
7130,ヤマエグループ,654.0,43.8,9765.205479452055,ヤマエグループホールディングス,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
6371,椿本チエイン,651.0,43.4,9765.0,椿本チエイン,プライム（内国株式）,機械,機械,産業＆建設,製造
6231,木村工機,621.0,39.5,9763.06329113924,木村工機,スタンダード（内国株式）,機械,機械,産業＆建設,製造
3663,セルシス,601.0,37.0,9762.18918918919,セルシス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
7231,トピー工業,638.0,41.7,9761.24700239808,トピー工業,プライム（内国株式）,輸送用機器,自動車・輸送機,テクノロジー＆サービス,製造
3681,ブイキューブ,587.0,35.3,9761.16147308782,ブイキューブ,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
5935,元旦ビューティ工業,650.0,43.3,9757.505773672056,元旦ビューティ工業,スタンダード（内国株式）,金属製品,建設・資材,産業＆建設,製造
3622,ネットイヤーグループ,620.0,39.4,9756.345177664974,ネットイヤーグループ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
7245,大同メタル工業,627.0,40.3,9755.062034739454,大同メタル工業,プライム（内国株式）,輸送用機器,自動車・輸送機,テクノロジー＆サービス,製造
8281,ゼビオ,737.0,55.7,9751.687612208258,ゼビオホールディングス,プライム（内国株式）,小売業,小売,ヘルスケア＆消費財,サービス
2475,WDB,694.0,49.4,9749.716599190284,ＷＤＢホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
5218,オハラ,636.0,41.5,9746.89156626506,オハラ,スタンダード（内国株式）,ガラス・土石製品,建設・資材,産業＆建設,製造
6750,エレコム,598.0,36.7,9743.978201634876,エレコム,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
7105,三菱ロジスネクスト,642.0,42.3,9743.829787234043,三菱ロジスネクスト,スタンダード（内国株式）,輸送用機器,自動車・輸送機,テクノロジー＆サービス,製造
3839,ODKソリューションズ,635.0,41.4,9739.73429951691,ＯＤＫソリューションズ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
3284,フージャース,611.0,38.33,9739.65562222802,フージャースホールディングス,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
6420,フクシマガリレイ,588.0,35.5,9739.267605633802,フクシマガリレイ,プライム（内国株式）,機械,機械,産業＆建設,製造
9672,東京都競馬,583.0,34.9,9738.939828080229,東京都競馬,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
7417,南陽,638.0,41.8,9737.894736842107,南陽,スタンダード（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
7192,日本モーゲージサービス,672.0,46.4,9732.41379310345,日本モーゲージサービス,スタンダード（内国株式）,その他金融業,金融（除く銀行）,金融＆不動産,サービス
5331,ノリタケカンパニーリミテド,655.0,44.1,9728.458049886622,ノリタケカンパニーリミテド,プライム（内国株式）,ガラス・土石製品,建設・資材,産業＆建設,製造
4374,ROBOT,550.0,31.1,9726.68810289389,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
1712,ダイセキ環境ソリューション,633.0,41.2,9725.461165048542,ダイセキ環境ソリューション,スタンダード（内国株式）,建設業,建設・資材,産業＆建設,サービス
6180,GMOメディア,574.0,33.88,9724.79338842975,ＧＭＯメディア,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
3204,トーア紡コーポレーション,682.0,47.83,9724.524357098056,トーア紡コーポレーション,スタンダード（内国株式）,繊維製品,素材・化学,産業＆建設,製造
7352,TWOSTONE&Sons,540.0,30.0,9720.0,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6289,技研製作所,579.0,34.5,9717.130434782608,技研製作所,プライム（内国株式）,機械,機械,産業＆建設,製造
1798,守谷商会,631.0,41.0,9711.243902439024,守谷商会,スタンダード（内国株式）,建設業,建設・資材,産業＆建設,サービス
6351,鶴見製作所,631.0,41.0,9711.243902439024,鶴見製作所,プライム（内国株式）,機械,機械,産業＆建設,製造
8285,三谷産業,631.0,41.0,9711.243902439024,三谷産業,スタンダード（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
8360,山梨中央銀行,613.0,38.7,9709.793281653747,山梨中央銀行,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
7345,アイ・パートナーズフィナンシャル,684.0,48.2,9706.55601659751,アイ・パートナーズフィナンシャル,グロース（内国株式）,その他金融業,金融（除く銀行）,金融＆不動産,サービス
1921,巴コーポレーション,632.0,41.2,9694.757281553397,巴コーポレーション,スタンダード（内国株式）,建設業,建設・資材,産業＆建設,サービス
8904,AVANTIA,594.0,36.4,9693.296703296704,ＡＶＡＮＴＩＡ,スタンダード（内国株式）,不動産業,不動産,金融＆不動産,サービス
2108,日本甜菜製糖,649.0,43.5,9682.781609195403,日本甜菜製糖,プライム（内国株式）,食料品,食品,ヘルスケア＆消費財,製造
3173,Cominix,600.0,37.2,9677.419354838708,Ｃｏｍｉｎｉｘ,スタンダード（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
4251,恵和,626.0,40.5,9675.95061728395,恵和,プライム（内国株式）,化学,素材・化学,産業＆建設,製造
4624,イサム塗料,648.0,43.4,9675.207373271889,イサム塗料,スタンダード（内国株式）,化学,素材・化学,産業＆建設,製造
9305,ヤマタネ,624.0,40.25,9673.937888198758,ヤマタネ,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
1433,ベステラ,629.0,40.9,9673.374083129585,ベステラ,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
9360,鈴与シンワート,644.0,42.9,9667.505827505827,鈴与シンワート,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
2998,クリアル,614.0,39.0,9666.564102564103,クリアル,グロース（内国株式）,不動産業,不動産,金融＆不動産,サービス
4177,i-plug,569.0,33.5,9664.507462686568,ｉ‐ｐｌｕｇ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
2003,日東富士製粉,643.0,42.8,9660.023364485982,日東富士製粉,スタンダード（内国株式）,食料品,食品,ヘルスケア＆消費財,製造
3186,ネクステージ,532.0,29.3,9659.522184300342,ネクステージ,プライム（内国株式）,小売業,小売,ヘルスケア＆消費財,サービス
2385,総医研,692.0,49.58,9658.410649455425,総医研ホールディングス,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
4238,ミライアル,608.0,38.3,9651.801566579636,ミライアル,スタンダード（内国株式）,化学,素材・化学,産業＆建設,製造
3672,オルトプラス,607.0,38.2,9645.26178010471,オルトプラス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
3708,特種東海製紙,625.0,40.5,9645.061728395061,特種東海製紙,プライム（内国株式）,パルプ・紙,素材・化学,産業＆建設,製造
7057,エヌ・シー・エヌ,625.0,40.5,9645.061728395061,エヌ・シー・エヌ,スタンダード（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
9972,アルテック,674.0,47.1,9644.925690021231,アルテック,スタンダード（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
