,company_name,average_salary,average_age,salary/age,銘柄名,市場・商品区分,33業種区分,17業種区分,かふか5分類,かふか4分類
6080,M&Aキャピタルパートナーズ,2478.0,32.4,189521.11111111112,Ｍ＆Ａキャピタルパートナーズ,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6861,キーエンス,2279.0,35.8,145079.35754189946,キーエンス,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
9435,光通信,2101.0,42.5,103863.55294117647,光通信,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
3003,ヒューリック,1904.0,39.67,91384.32064532393,ヒューリック,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
8058,三菱商事,1939.0,42.9,87639.18414918415,三菱商事,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
4310,ドリームインキュベータ,1776.0,37.1,85018.22102425876,ドリームインキュベータ,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
8031,三井物産,1783.0,42.3,75155.76832151301,三井物産,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
3252,地主,1697.0,38.9,74031.07969151672,地主,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
8001,伊藤忠商事,1730.0,42.4,70587.2641509434,伊藤忠商事,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
6196,ストライク,1514.0,34.9,65678.96848137536,ストライク,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6920,レーザーテック,1581.0,40.3,62023.846153846156,レーザーテック,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
9104,商船三井,1517.0,37.8,60880.66137566138,商船三井,プライム（内国株式）,海運業,運輸・物流,産業＆建設,サービス
8002,丸紅,1593.0,42.3,59991.70212765958,丸紅,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
8053,住友商事,1605.0,43.2,59630.20833333333,住友商事,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
3132,マクニカ,1719.0,49.6,59575.82661290323,マクニカホールディングス,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
3498,霞ヶ関キャピタル,1407.0,37.6,52650.23936170212,霞ヶ関キャピタル,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
4324,電通グループ,1520.0,44.0,52509.09090909091,電通グループ,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
4686,ジャストシステム,1438.0,39.6,52218.28282828283,ジャストシステム,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
4676,フジ・メディアHD,1580.0,49.1,50843.17718940937,フジ・メディア・ホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
9409,テレビ朝日,1474.0,43.9,49491.48063781321,テレビ朝日ホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
8766,東京海上,1430.0,43.2,47335.648148148146,東京海上ホールディングス,プライム（内国株式）,保険業,金融（除く銀行）,金融＆不動産,サービス
9413,テレビ東京,1522.0,49.0,47275.183673469386,テレビ東京ホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
6146,ディスコ,1329.0,37.6,46974.494680851065,ディスコ,プライム（内国株式）,機械,機械,産業＆建設,製造
8604,野村,1437.0,44.08,46845.93920145191,野村ホールディングス,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
7177,GMOフィナンシャル,1374.0,40.55,46556.74475955611,ＧＭＯフィナンシャルホールディングス,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
9107,川崎汽船,1328.0,39.0,45220.10256410256,川崎汽船,プライム（内国株式）,海運業,運輸・物流,産業＆建設,サービス
9401,TBS,1459.0,47.2,45099.173728813555,ＴＢＳホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
2127,日本M&Aセンター,1243.0,34.3,45045.16034985423,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
8035,東京エレクトロン,1398.0,43.6,44825.77981651376,東京エレクトロン,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
9984,ソフトバンクグループ,1339.0,40.5,44269.654320987655,ソフトバンクグループ,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
9101,日本郵船,1322.0,39.9,43801.60401002506,日本郵船,プライム（内国株式）,海運業,運輸・物流,産業＆建設,サービス
1414,ショーボンド,1525.0,53.1,43797.080979284365,ショーボンドホールディングス,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
8595,ジャフコ,1365.0,42.92,43411.57968313141,ジャフコ　グループ,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
4565,そーせいグループ,1344.0,43.0,42007.813953488374,そーせいグループ,プライム（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
7038,フロンティア・マネジメント,1257.0,37.8,41800.2380952381,フロンティア・マネジメント,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6954,ファナック,1283.0,40.2,40947.48756218905,ファナック,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
8801,三井不動産,1269.0,40.2,40058.73134328358,三井不動産,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
6532,ベイカレント・コンサルティング,1117.0,32.1,38868.816199376946,ベイカレント・コンサルティング,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
8802,三菱地所,1246.0,40.17,38648.64326611899,三菱地所,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
9404,日本テレビ,1358.0,48.2,38260.66390041493,日本テレビホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
7347,マーキュリア,1267.0,42.0,38221.166666666664,マーキュリアホールディングス,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
4883,モダリス,1340.0,47.0,38204.255319148935,モダリス,グロース（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
4307,野村総合研究所,1242.0,40.6,37994.187192118225,野村総合研究所,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
8020,兼松,1204.0,38.5,37652.36363636364,兼松,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
2433,博報堂DY,1275.0,43.9,37030.18223234624,博報堂ＤＹホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
8601,大和証券G,1223.0,40.4,37022.99504950495,大和証券グループ本社,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
4235,ウルトラファブリックスHD,1398.0,52.8,37015.22727272727,ウルトラファブリックス・ホールディングス,スタンダード（内国株式）,化学,素材・化学,産業＆建設,製造
8739,スパークス・グループ,1356.0,49.7,36996.70020120724,スパークス・グループ,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
2502,アサヒグループ,1229.0,41.3,36572.421307506054,アサヒグループホールディングス,プライム（内国株式）,食料品,食品,ヘルスケア＆消費財,製造
3791,IGポート,1336.0,49.93,35747.96715401562,ＩＧポート,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
3608,TSI,1448.0,58.8,35658.23129251701,ＴＳＩホールディングス,プライム（内国株式）,繊維製品,素材・化学,産業＆建設,製造
6572,RPA,1187.0,40.1,35136.38403990025,ＲＰＡホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
9405,朝日放送グループ,1314.0,49.3,35022.231237322514,朝日放送グループホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
2768,双日,1208.0,41.7,34994.34052757794,双日,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
8630,SOMPO,1231.0,43.7,34676.453089244846,ＳＯＭＰＯホールディングス,プライム（内国株式）,保険業,金融（除く銀行）,金融＆不動産,サービス
9119,飯野海運,1143.0,37.9,34470.94986807388,飯野海運,プライム（内国株式）,海運業,運輸・物流,産業＆建設,サービス
9684,スクウェア・エニックスHD,1259.0,46.5,34087.76344086022,スクウェア・エニックス・ホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
4519,中外製薬,1214.0,43.42,33942.79134039613,中外製薬,プライム（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
9983,ファーストリテイリング,1147.0,38.83,33881.25160958022,ファーストリテイリング,プライム（内国株式）,小売業,小売,ヘルスケア＆消費財,サービス
5411,JFE,1241.0,46.1,33407.39696312365,ＪＦＥホールディングス,プライム（内国株式）,鉄鋼,鉄鋼・非鉄,産業＆建設,製造
6098,リクルート,1138.0,39.3,32952.77353689568,リクルートホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
3482,ロードスターキャピタル,1166.0,41.3,32919.03147699758,ロードスターキャピタル,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
4597,ソレイジア・ファーマ,1310.0,52.5,32687.619047619046,ソレイジア・ファーマ,グロース（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
8309,三井住友トラストHD,1274.0,49.9,32526.573146292587,三井住友トラスト・ホールディングス,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
8015,豊田通商,1180.0,43.1,32306.26450116009,豊田通商,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
7167,めぶき,1234.0,48.7,31268.090349075974,めぶきフィナンシャルグループ,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
4165,プレイド,1040.0,34.6,31260.115606936415,プレイド,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
4812,電通国際情報サービス,1128.0,40.9,31109.63325183374,電通総研,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
2587,サントリー食品インターナショナル,1130.0,41.3,30917.67554479419,サントリー食品インターナショナル,プライム（内国株式）,食料品,食品,ヘルスケア＆消費財,製造
1812,鹿島建設,1163.0,43.9,30810.227790432804,鹿島建設,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
3254,プレサンスコーポレーション,960.0,30.5,30216.39344262295,プレサンスコーポレーション,スタンダード（内国株式）,不動産業,不動産,金融＆不動産,サービス
4385,メルカリ,1035.0,35.6,30090.58988764045,メルカリ,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
4592,サンバイオ,1189.0,47.0,30079.17021276596,サンバイオ,グロース（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
8316,三井住友,1086.0,39.42,29918.721461187215,三井住友フィナンシャルグループ,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
6035,アイ・アールジャパン,1141.0,43.7,29791.32723112128,アイ・アールジャパンホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
9260,西本Wismettac,1100.0,41.0,29512.19512195122,西本Ｗｉｓｍｅｔｔａｃホールディングス,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
3636,三菱総合研究所,1103.0,41.7,29175.275779376498,三菱総合研究所,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
9412,スカパーJSAT,1178.0,47.83,29012.837131507422,スカパーＪＳＡＴホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
9110,NSユナイテッド海運,1073.0,39.9,28855.363408521305,ＮＳユナイテッド海運,プライム（内国株式）,海運業,運輸・物流,産業＆建設,サービス
3993,PKSHA,1002.0,34.9,28768.022922636104,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
8012,長瀬産業,1090.0,41.5,28628.9156626506,長瀬産業,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
4716,日本オラクル,1126.0,44.3,28620.225733634314,日本オラクル,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
6758,ソニーグループ,1101.0,42.4,28589.646226415094,ソニーグループ,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
4839,WOWOW,1077.0,40.9,28360.122249388754,ＷＯＷＯＷ,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
5021,コスモエネルギー,1096.0,42.5,28263.90588235294,コスモエネルギーホールディングス,プライム（内国株式）,石油・石炭製品,エネルギー資源,エネルギー＆資源,基礎インフラ＆資源
4502,武田薬品工業,1097.0,42.8,28117.032710280375,武田薬品工業,プライム（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
4582,シンバイオ製薬,1208.0,52.1,28008.90595009597,シンバイオ製薬,グロース（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
4684,オービック,1005.0,36.1,27978.531855955676,オービック,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
4612,日本ペイント,1072.0,41.1,27960.68126520681,日本ペイントホールディングス,プライム（内国株式）,化学,素材・化学,産業＆建設,製造
5384,フジミインコーポレーテッド,1086.0,42.6,27685.352112676057,フジミインコーポレーテッド,プライム（内国株式）,ガラス・土石製品,建設・資材,産業＆建設,製造
8803,平和不動産,1087.0,42.7,27671.405152224823,平和不動産,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
4568,第一三共,1119.0,45.3,27641.523178807947,第一三共,プライム（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
8609,岡三証券グループ,1193.0,52.25,27239.215311004784,岡三証券グループ,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
8131,ミツウロコグループ,1077.0,42.7,27164.613583138173,ミツウロコグループホールディングス,スタンダード（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
8306,三菱UFJ,1041.0,40.1,27024.463840399003,三菱ＵＦＪフィナンシャル・グループ,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
7327,第四北越,1161.0,50.7,26586.213017751477,第四北越フィナンシャルグループ,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
9563,Atlas,1113.0,46.6,26583.02575107296,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
4503,アステラス製薬,1061.0,42.4,26550.023584905663,アステラス製薬,プライム（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
7330,レオス・キャピタルワークス,1029.0,40.2,26339.328358208953,レオス・キャピタルワークス,グロース（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
5586,Laboro.AI,976.0,36.3,26241.763085399452,Ｌａｂｏｒｏ．ＡＩ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
7383,ネットプロテクションズ,981.0,36.9,26080.243902439026,ネットプロテクションズホールディングス,プライム（内国株式）,その他金融業,金融（除く銀行）,金融＆不動産,サービス
8411,みずほ,1038.0,41.4,26025.217391304348,みずほフィナンシャルグループ,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
9163,ナレルグループ,1047.0,42.3,25915.106382978724,ナレルグループ,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
2413,エムスリー,948.0,34.7,25899.250720461092,エムスリー,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
5834,SBIリーシングサービス,1060.0,43.6,25770.64220183486,ＳＢＩリーシングサービス,グロース（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
3176,三洋貿易,1022.0,40.67,25681.92771084337,三洋貿易,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
3231,野村不動産,1033.0,41.6,25651.177884615383,野村不動産ホールディングス,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
2160,ジーエヌアイグループ,1122.0,49.5,25432.0,ジーエヌアイグループ,グロース（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
3236,プロパスト,1006.0,39.9,25364.310776942355,プロパスト,スタンダード（内国株式）,不動産業,不動産,金融＆不動産,サービス
4523,エーザイ,1050.0,43.6,25286.697247706423,エーザイ,プライム（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
8795,T&D,1083.0,46.4,25277.780172413793,Ｔ＆Ｄホールディングス,プライム（内国株式）,保険業,金融（除く銀行）,金融＆不動産,サービス
6730,アクセル,1092.0,47.5,25104.505263157895,アクセル,スタンダード（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
3289,東急不動産,1030.0,42.3,25080.378250591017,東急不動産ホールディングス,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
8725,MS&ADインシュアランスグループ,1101.0,48.5,24993.835051546394,ＭＳ＆ＡＤインシュアランスグループホールディングス,プライム（内国株式）,保険業,金融（除く銀行）,金融＆不動産,サービス
1802,大林組,1031.0,42.7,24893.700234192034,大林組,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
4578,大塚,1040.0,43.6,24807.339449541283,大塚ホールディングス,プライム（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
7148,FPG,1010.0,41.5,24580.722891566264,ＦＰＧ,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
2802,味の素,1047.0,44.6,24578.67713004484,味の素,プライム（内国株式）,食料品,食品,ヘルスケア＆消費財,製造
4051,GMOフィナンシャルゲート,1023.0,42.7,24508.87587822014,ＧＭＯフィナンシャルゲート,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
9064,ヤマト,1142.0,53.6,24331.41791044776,ヤマトホールディングス,プライム（内国株式）,陸運業,運輸・物流,産業＆建設,サービス
7974,任天堂,985.0,39.9,24316.416040100252,任天堂,プライム（内国株式）,その他製品,情報通信・サービスその他,テクノロジー＆サービス,製造
8804,東京建物,1009.0,42.08,24193.940114068442,東京建物,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
2991,ランドネット,853.0,30.1,24173.056478405313,ランドネット,スタンダード（内国株式）,不動産業,不動産,金融＆不動産,サービス
4587,ペプチドリーム,966.0,38.7,24112.55813953488,ペプチドリーム,プライム（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
6323,ローツェ,1024.0,43.5,24105.19540229885,ローツェ,プライム（内国株式）,機械,機械,産業＆建設,製造
7186,コンコルディア・,980.0,40.0,24010.0,コンコルディア・フィナンシャルグループ,プライム（内国株式）,銀行業,銀行,金融＆不動産,サービス
2309,シミック,1052.0,46.1,24006.59436008677,シミックホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
5027,AnyMind,910.0,34.6,23933.526011560694,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
3148,クリエイトSD,1126.0,53.1,23877.13747645951,クリエイトＳＤホールディングス,プライム（内国株式）,小売業,小売,ヘルスケア＆消費財,サービス
7832,バンダイナムコ,1057.0,46.8,23872.841880341883,バンダイナムコホールディングス,プライム（内国株式）,その他製品,情報通信・サービスその他,テクノロジー＆サービス,製造
8818,京阪神ビルディング,1070.0,48.2,23753.11203319502,京阪神ビルディング,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
8697,日本取引所グループ,1056.0,47.0,23726.297872340427,日本取引所グループ,プライム（内国株式）,その他金融業,金融（除く銀行）,金融＆不動産,サービス
1605,INPEX,969.0,39.93,23515.17655897821,ＩＮＰＥＸ,プライム（内国株式）,鉱業,エネルギー資源,エネルギー＆資源,基礎インフラ＆資源
1518,三井松島,1027.0,44.9,23490.623608017817,三井松島ホールディングス,プライム（内国株式）,鉱業,エネルギー資源,エネルギー＆資源,基礎インフラ＆資源
4188,三菱ケミカルグループ,1045.0,46.5,23484.40860215054,三菱ケミカルグループ,プライム（内国株式）,化学,素材・化学,産業＆建設,製造
4748,構造計画研究所,986.0,41.7,23314.052757793765,構造計画研究所,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
4563,アンジェス,1120.0,53.9,23272.727272727272,アンジェス,グロース（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
5076,インフロニアHD,967.0,40.4,23145.767326732675,インフロニア・ホールディングス,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
2337,いちご,1006.0,43.8,23105.84474885845,いちご,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
6193,バーチャレクスHD,1046.0,47.5,23034.02105263158,バーチャレクス・ホールディングス,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6551,ツナググループHD,918.0,36.6,23025.245901639344,ツナググループ・ホールディングス,スタンダード（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
1801,大成建設,992.0,43.0,22885.20930232558,大成建設,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
7360,オンデック,906.0,35.87,22883.63534987455,オンデック,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
2269,明治,1013.0,44.9,22854.5434298441,明治ホールディングス,プライム（内国株式）,食料品,食品,ヘルスケア＆消費財,製造
6235,オプトラン,944.0,39.1,22791.202046035804,オプトラン,プライム（内国株式）,機械,機械,産業＆建設,製造
3817,SRA,1125.0,55.6,22763.039568345324,ＳＲＡホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
8737,あかつき本社,1021.0,45.8,22760.72052401747,あかつき本社,スタンダード（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
4901,富士フイルム,1032.0,46.8,22756.923076923078,富士フイルムホールディングス,プライム（内国株式）,化学,素材・化学,産業＆建設,製造
4373,シンプレクスHD,916.0,36.9,22738.644986449865,シンプレクス・ホールディングス,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
8877,エスリード,871.0,33.5,22646.0,エスリード,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
9432,日本電信電話,971.0,41.9,22502.171837708833,日本電信電話,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
4418,JDSC,873.0,34.0,22415.558823529413,ＪＤＳＣ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
8750,第一生命,972.0,42.17,22404.173583115957,第一生命ホールディングス,プライム（内国株式）,保険業,金融（除く銀行）,金融＆不動産,サービス
8088,岩谷産業,941.0,39.7,22304.307304785892,岩谷産業,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
9193,東京汽船,949.0,40.5,22237.061728395063,東京汽船,スタンダード（内国株式）,倉庫・運輸関連業,運輸・物流,産業＆建設,サービス
9962,ミスミG,938.0,39.6,22218.282828282827,ミスミグループ本社,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
5020,ENEOS,992.0,44.33,22198.6013986014,ＥＮＥＯＳホールディングス,プライム（内国株式）,石油・石炭製品,エネルギー資源,エネルギー＆資源,基礎インフラ＆資源
6088,シグマクシスHD,1000.0,45.1,22172.949002217294,シグマクシス・ホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
6857,アドバンテスト,1010.0,46.07,22142.392012155415,アドバンテスト,プライム（内国株式）,電気機器,電機・精密,テクノロジー＆サービス,製造
4259,エクサウィザーズ,900.0,36.6,22131.147540983606,エクサウィザーズ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
9519,レノバ,953.0,41.1,22097.542579075423,レノバ,プライム（内国株式）,電気・ガス業,電力・ガス,エネルギー＆資源,基礎インフラ＆資源
1979,大気社,965.0,42.5,21911.176470588234,大氣社,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
5574,ABEJA,887.0,36.1,21794.15512465374,ＡＢＥＪＡ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
8133,伊藤忠エネクス,952.0,41.7,21733.908872901677,伊藤忠エネクス,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
7733,オリンパス,965.0,42.86,21727.134857676156,オリンパス,プライム（内国株式）,精密機器,電機・精密,テクノロジー＆サービス,製造
1803,清水建設,971.0,43.4,21724.447004608297,清水建設,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
9344,アクシスコンサルティング,863.0,34.3,21713.381924198253,アクシスコンサルティング,グロース（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
4058,トヨクモ,821.0,31.2,21603.878205128207,トヨクモ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
6625,JALCO,1052.0,51.3,21573.17738791423,ＪＡＬＣＯホールディングス,スタンダード（内国株式）,不動産業,不動産,金融＆不動産,サービス
1808,長谷工コーポレーション,941.0,41.1,21544.549878345497,長谷工コーポレーション,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
4091,日本酸素,976.0,44.25,21527.141242937854,日本酸素ホールディングス,プライム（内国株式）,化学,素材・化学,産業＆建設,製造
8628,松井証券,913.0,38.8,21483.737113402065,松井証券,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,金融＆不動産,サービス
1925,大和ハウス工業,928.0,40.1,21475.910224438903,大和ハウス工業,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
5019,出光興産,949.0,42.08,21402.11501901141,出光興産,プライム（内国株式）,石油・石炭製品,エネルギー資源,エネルギー＆資源,基礎インフラ＆資源
8944,ランドビジネス,1067.0,53.3,21360.01876172608,ランドビジネス,スタンダード（内国株式）,不動産業,不動産,金融＆不動産,サービス
4528,小野薬品工業,962.0,43.5,21274.57471264368,小野薬品工業,プライム（内国株式）,医薬品,医薬品,ヘルスケア＆消費財,製造
8014,蝶理,925.0,40.3,21231.389578163773,蝶理,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
1969,高砂熱学工業,944.0,42.2,21116.966824644547,高砂熱学工業,プライム（内国株式）,建設業,建設・資材,産業＆建設,サービス
4056,ニューラルグループ,869.0,35.8,21093.882681564246,ニューラルグループ,グロース（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
7500,西川計測,943.0,42.2,21072.25118483412,西川計測,スタンダード（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
3245,ディア・ライフ,800.0,30.4,21052.63157894737,ディア・ライフ,プライム（内国株式）,不動産業,不動産,金融＆不動産,サービス
9934,因幡電機産業,894.0,38.0,21032.526315789473,因幡電機産業,プライム（内国株式）,卸売業,商社・卸売,産業＆建設,サービス
2391,プラネット,994.0,47.1,20977.40976645435,プラネット,スタンダード（内国株式）,サービス業,情報通信・サービスその他,テクノロジー＆サービス,サービス
9433,KDDI,943.0,42.5,20923.50588235294,ＫＤＤＩ,プライム（内国株式）,情報・通信業,情報通信・サービスその他,テクノロジー＆サービス,テクノロジー
